period,postings,n_publishers,days_in_period,days_observed,is_partial,postings_per_week,index_base_100,growth_pct,log_growth,rolling_mean,acceleration,local_median,robust_z,poisson_z,is_spike,is_trough
2023-W43,20,7,7,7,False,20.0,86.96,66.67,0.5108,15.667,86.67,15.0,0.67,1.29,False,False
2023-W44,7,6,7,7,False,7.0,30.43,-65.0,-1.0498,13.0,-131.67,15.0,-1.8,-2.07,False,False
2023-W45,22,12,7,7,False,22.0,95.65,214.29,1.1451,16.333,279.29,15.0,1.57,1.81,False,False
2023-W46,12,5,7,7,False,12.0,52.17,-45.45,-0.6061,13.667,-259.74,15.0,-0.67,-0.77,False,False
2023-W47,17,8,7,7,False,17.0,73.91,41.67,0.3483,17.0,87.12,17.0,0.0,0.0,False,False
2023-W48,15,9,7,7,False,15.0,65.22,-11.76,-0.1252,14.667,-53.43,17.0,-0.67,-0.49,False,False
2023-W49,15,5,7,7,False,15.0,65.22,0.0,0.0,15.667,11.76,18.0,-1.01,-0.71,False,False
2023-W50,19,8,7,7,False,19.0,82.61,26.67,0.2364,16.333,26.67,17.0,0.67,0.49,False,False
2023-W51,19,4,7,7,False,19.0,82.61,0.0,0.0,17.667,-26.67,18.0,0.45,0.24,False,False
2023-W52,19,6,7,7,False,19.0,82.61,0.0,0.0,19.0,0.0,19.0,0.0,0.0,False,False
