key,model,horizon,origin,target,n_train,actual,predicted,error
databricks,naive,1,2023-06,2023-07,5,-2.330755969960742,-1.8946168546677629,-0.436139115292979
databricks,mean,1,2023-06,2023-07,5,-2.330755969960742,-2.4632264178659,0.13247044790515794
databricks,drift,1,2023-06,2023-07,5,-2.330755969960742,-1.7215382375947312,-0.6092177323660106
databricks,ses,1,2023-06,2023-07,5,-2.330755969960742,-2.471114994666742,0.14035902470600004
databricks,holt_damped,1,2023-06,2023-07,5,-2.330755969960742,-2.3541974001023465,0.023441430141604602
databricks,loglinear,1,2023-06,2023-07,5,-2.330755969960742,-2.1231806169016614,-0.20757535305908048
databricks,ar1,1,2023-06,2023-07,5,-2.330755969960742,-2.8281448010788592,0.4973888311181174
databricks,naive,1,2023-07,2023-08,6,-2.3025850929940455,-2.330755969960742,0.0281708769666964
databricks,mean,1,2023-07,2023-08,6,-2.3025850929940455,-2.4411480098817067,0.1385629168876612
databricks,drift,1,2023-07,2023-08,6,-2.3025850929940455,-2.2592136416153785,-0.043371451378666936
databricks,ses,1,2023-07,2023-08,6,-2.3025850929940455,-2.3981378416146755,0.09555274862063001
databricks,holt_damped,1,2023-07,2023-08,6,-2.3025850929940455,-2.2546614466916868,-0.04792364630235868
databricks,loglinear,1,2023-07,2023-08,6,-2.3025850929940455,-2.138496153749227,-0.16408893924481838
databricks,ar1,1,2023-07,2023-08,6,-2.3025850929940455,-2.4672692814718356,0.1646841884777901
databricks,naive,1,2023-08,2023-09,7,-2.330755969960742,-2.3025850929940455,-0.0281708769666964
databricks,mean,1,2023-08,2023-09,7,-2.330755969960742,-2.4213533074691838,0.0905973375084419
databricks,drift,1,2023-08,2023-09,7,-2.330755969960742,-2.237238686274206,-0.09351728368653589
databricks,ses,1,2023-08,2023-09,7,-2.330755969960742,-2.344023497731454,0.01326752777071194
databricks,holt_damped,1,2023-08,2023-09,7,-2.330755969960742,-2.1759919792550977,-0.15476399070564417
databricks,loglinear,1,2023-08,2023-09,7,-2.330755969960742,-2.1406891906733483,-0.19006677928739357
databricks,ar1,1,2023-08,2023-09,7,-2.330755969960742,-2.4474123543228083,0.11665638436206649
databricks,naive,1,2023-09,2023-10,8,-2.495956485974585,-2.330755969960742,-0.16520051601384322
databricks,mean,1,2023-09,2023-10,8,-2.495956485974585,-2.410028640280628,-0.08592784569395695
databricks,drift,1,2023-09,2023-10,8,-2.495956485974585,-2.2770992237017196,-0.2188572622728655
databricks,ses,1,2023-09,2023-10,8,-2.495956485974585,-2.339379863011705,-0.15657662296288022
databricks,holt_damped,1,2023-09,2023-10,8,-2.495956485974585,-2.13562253572226,-0.36033395025232506
databricks,loglinear,1,2023-09,2023-10,8,-2.495956485974585,-2.160592522802532,-0.3353639631720533
databricks,ar1,1,2023-09,2023-10,8,-2.495956485974585,-2.4263019684971447,-0.06965451747744034
databricks,naive,1,2023-10,2023-11,9,-1.5939337258981352,-2.495956485974585,0.9020227600764499
databricks,mean,1,2023-10,2023-11,9,-1.5939337258981352,-2.419576178691068,0.8256424527929327
databricks,drift,1,2023-10,2023-11,9,-1.5939337258981352,-2.466617213301437,0.8726834874033016
databricks,ses,1,2023-10,2023-11,9,-1.5939337258981352,-2.3992869878280896,0.8053532619299544
databricks,holt_damped,1,2023-10,2023-11,9,-1.5939337258981352,-2.2962759433355795,0.7023422174374443
databricks,loglinear,1,2023-10,2023-11,9,-1.5939337258981352,-2.2462150707427693,0.6522813448446341
databricks,ar1,1,2023-10,2023-11,9,-1.5939337258981352,-2.4036718696470802,0.809738143748945
databricks,naive,1,2023-11,2023-12,10,-2.3387647495715482,-1.5939337258981352,-0.744831023673413
databricks,mean,1,2023-11,2023-12,10,-2.3387647495715482,-2.3370119334117745,-0.0017528161597737402
databricks,drift,1,2023-11,2023-12,10,-2.3387647495715482,-1.4773261044846566,-0.8614386450868916
databricks,ses,1,2023-11,2023-12,10,-2.3387647495715482,-2.114094896746011,-0.2246698528255373
databricks,holt_damped,1,2023-11,2023-12,10,-2.3387647495715482,-1.9666214337481909,-0.37214331582335736
databricks,loglinear,1,2023-11,2023-12,10,-2.3387647495715482,-1.9652203261141072,-0.373544423457441
databricks,ar1,1,2023-11,2023-12,10,-2.3387647495715482,-2.570919908225605,0.23215515865405667
databricks,naive,2,2023-06,2023-08,5,-2.3025850929940455,-1.8946168546677629,-0.4079682383262826
databricks,mean,2,2023-06,2023-08,5,-2.3025850929940455,-2.4632264178659,0.16064132487185434
databricks,drift,2,2023-06,2023-08,5,-2.3025850929940455,-1.5484596205216996,-0.7541254724723458
databricks,ses,2,2023-06,2023-08,5,-2.3025850929940455,-2.471114994666742,0.16852990167269644
databricks,holt_damped,2,2023-06,2023-08,5,-2.3025850929940455,-2.2616469928738847,-0.04093810012016075
databricks,loglinear,2,2023-06,2023-08,5,-2.3025850929940455,-2.0169163041003375,-0.28566878889370795
databricks,ar1,2,2023-06,2023-08,5,-2.3025850929940455,-2.2290315765801267,-0.07355351641391872
databricks,naive,2,2023-07,2023-09,6,-2.330755969960742,-2.330755969960742,0.0
databricks,mean,2,2023-07,2023-09,6,-2.330755969960742,-2.4411480098817067,0.1103920399209648
databricks,drift,2,2023-07,2023-09,6,-2.330755969960742,-2.1876713132700156,-0.14308465669072623
databricks,ses,2,2023-07,2023-09,6,-2.330755969960742,-2.3981378416146755,0.06738187165393361
databricks,holt_damped,2,2023-07,2023-09,6,-2.330755969960742,-2.161710732656995,-0.169045237303747
databricks,loglinear,2,2023-07,2023-09,6,-2.330755969960742,-2.055954738440369,-0.2748012315203727
databricks,ar1,2,2023-07,2023-09,6,-2.330755969960742,-2.4349671219302405,0.1042111519694986
databricks,naive,2,2023-08,2023-10,7,-2.495956485974585,-2.3025850929940455,-0.19337139298053962
databricks,mean,2,2023-08,2023-10,7,-2.495956485974585,-2.4213533074691838,-0.07460317850540132
databricks,drift,2,2023-08,2023-10,7,-2.495956485974585,-2.171892279554367,-0.32406420642021816
databricks,ses,2,2023-08,2023-10,7,-2.495956485974585,-2.344023497731454,-0.15193298824313128
databricks,holt_damped,2,2023-08,2023-10,7,-2.495956485974585,-2.089502866491978,-0.40645361948260694
databricks,loglinear,2,2023-08,2023-10,7,-2.495956485974585,-2.0729426797226296,-0.4230138062519555
databricks,ar1,2,2023-08,2023-10,7,-2.495956485974585,-2.415635667224103,-0.08032081875048203
databricks,naive,2,2023-09,2023-11,8,-1.5939337258981352,-2.330755969960742,0.7368222440626067
databricks,mean,2,2023-09,2023-11,8,-1.5939337258981352,-2.410028640280628,0.8160949143824929
databricks,drift,2,2023-09,2023-11,8,-1.5939337258981352,-2.2234424774426973,0.6295087515445621
databricks,ses,2,2023-09,2023-11,8,-1.5939337258981352,-2.339379863011705,0.7454461371135697
databricks,holt_damped,2,2023-09,2023-11,8,-1.5939337258981352,-2.065726738881773,0.4717930129836376
databricks,loglinear,2,2023-09,2023-11,8,-1.5939337258981352,-2.1066603892937543,0.5127266633956191
databricks,ar1,2,2023-09,2023-11,8,-1.5939337258981352,-2.406688003335085,0.8127542774369498
databricks,naive,2,2023-10,2023-12,9,-2.3387647495715482,-2.495956485974585,0.15719173640303685
databricks,mean,2,2023-10,2023-12,9,-2.3387647495715482,-2.419576178691068,0.08081142911951966
databricks,drift,2,2023-10,2023-12,9,-2.3387647495715482,-2.437277940628288,0.09851319105673984
databricks,ses,2,2023-10,2023-12,9,-2.3387647495715482,-2.3992869878280896,0.06052223825654135
databricks,holt_damped,2,2023-10,2023-12,9,-2.3387647495715482,-2.287493683325856,-0.05127106624569233
databricks,loglinear,2,2023-10,2023-12,9,-2.3387647495715482,-2.212296593100711,-0.1264681564708372
databricks,ar1,2,2023-10,2023-12,9,-2.3387647495715482,-2.422887857514613,0.08412310794306466
databricks,naive,3,2023-06,2023-09,5,-2.330755969960742,-1.8946168546677629,-0.436139115292979
databricks,mean,3,2023-06,2023-09,5,-2.330755969960742,-2.4632264178659,0.13247044790515794
databricks,drift,3,2023-06,2023-09,5,-2.330755969960742,-1.375381003448668,-0.9553749665120739
databricks,ses,3,2023-06,2023-09,5,-2.330755969960742,-2.471114994666742,0.14035902470600004
databricks,holt_damped,3,2023-06,2023-09,5,-2.330755969960742,-2.1709475937899922,-0.1598083761707496
databricks,loglinear,3,2023-06,2023-09,5,-2.330755969960742,-1.9106519912990134,-0.42010397866172844
databricks,ar1,3,2023-06,2023-09,5,-2.330755969960742,-2.613526392347757,0.28277042238701533
databricks,naive,3,2023-07,2023-10,6,-2.495956485974585,-2.330755969960742,-0.16520051601384322
databricks,mean,3,2023-07,2023-10,6,-2.495956485974585,-2.4411480098817067,-0.05480847609287842
databricks,drift,3,2023-07,2023-10,6,-2.495956485974585,-2.1161289849246523,-0.3798275010499328
databricks,ses,3,2023-07,2023-10,6,-2.495956485974585,-2.3981378416146755,-0.09781864435990961
databricks,holt_damped,3,2023-07,2023-10,6,-2.495956485974585,-2.070619032902997,-0.4253374530715881
databricks,loglinear,3,2023-07,2023-10,6,-2.495956485974585,-1.9734133231315107,-0.5225431628430743
databricks,ar1,3,2023-07,2023-10,6,-2.495956485974585,-2.442610548783642,-0.05334593719094327
databricks,naive,3,2023-08,2023-11,7,-1.5939337258981352,-2.3025850929940455,0.7086513670959103
databricks,mean,3,2023-08,2023-11,7,-1.5939337258981352,-2.4213533074691838,0.8274195815710486
databricks,drift,3,2023-08,2023-11,7,-1.5939337258981352,-2.1065458728345274,0.5126121469363922
databricks,ses,3,2023-08,2023-11,7,-1.5939337258981352,-2.344023497731454,0.7500897718333186
databricks,holt_damped,3,2023-08,2023-11,7,-1.5939337258981352,-2.004743535984121,0.4108098100859858
databricks,loglinear,3,2023-08,2023-11,7,-1.5939337258981352,-2.005196168771911,0.41126244287377567
databricks,ar1,3,2023-08,2023-11,7,-1.5939337258981352,-2.422607820351247,0.8286740944531119
databricks,naive,3,2023-09,2023-12,8,-2.3387647495715482,-2.330755969960742,-0.008008779610806371
databricks,mean,3,2023-09,2023-12,8,-2.3387647495715482,-2.410028640280628,0.0712638907090799
databricks,drift,3,2023-09,2023-12,8,-2.3387647495715482,-2.1697857311836746,-0.16897901838787366
databricks,ses,3,2023-09,2023-12,8,-2.3387647495715482,-2.339379863011705,0.0006151134401566338
databricks,holt_damped,3,2023-09,2023-12,8,-2.3387647495715482,-1.9972288579780955,-0.34153589159345277
databricks,loglinear,3,2023-09,2023-12,8,-2.3387647495715482,-2.0527282557849764,-0.2860364937865718
databricks,ar1,3,2023-09,2023-12,8,-2.3387647495715482,-2.4107144161129255,0.07194966654137724
google,naive,1,2023-06,2023-07,5,-1.084818966535774,-1.3068301897656438,0.22201122322986988
google,mean,1,2023-06,2023-07,5,-1.084818966535774,-1.1478338747120262,0.06301490817625233
google,drift,1,2023-06,2023-07,5,-1.084818966535774,-1.2983916344542408,0.21357266791846685
google,ses,1,2023-06,2023-07,5,-1.084818966535774,-1.3007072930163188,0.2158883264805449
google,holt_damped,1,2023-06,2023-07,5,-1.084818966535774,-1.2974189458090197,0.2125999792732458
google,loglinear,1,2023-06,2023-07,5,-1.084818966535774,-1.1288583321656884,0.044039365629914506
google,ar1,1,2023-06,2023-07,5,-1.084818966535774,-1.152436655254111,0.06761768871833707
google,naive,1,2023-07,2023-08,6,-1.4307461236907244,-1.084818966535774,-0.3459271571549505
google,mean,1,2023-07,2023-08,6,-1.4307461236907244,-1.1373313900159843,-0.29341473367474014
google,drift,1,2023-07,2023-08,6,-1.4307461236907244,-1.0407849665712932,-0.38996115711943125
google,ses,1,2023-07,2023-08,6,-1.4307461236907244,-1.1500891575909407,-0.28065696609978374
google,holt_damped,1,2023-07,2023-08,6,-1.4307461236907244,-1.1449906842056956,-0.2857554394850288
google,loglinear,1,2023-07,2023-08,6,-1.4307461236907244,-1.097133989536722,-0.33361213415400237
