horizon,model,n_origins,rmse,mae,interval_lo,interval_hi,interval_width_log,interval_factor,n_residuals,achieved_level,interval_sufficient,insufficient_reason
1,naive,12,0.30889755225859683,0.23832286348950185,-0.6020546366998241,0.5448365017574062,1.1468911384572302,3.148389771403619,12,0.8461538461538461,True,
2,naive,10,0.29544941721812257,0.24855440809981078,-0.5559460590464604,0.2276550980954759,0.7836011571419363,2.189342251950948,10,0.8181818181818182,True,
3,naive,8,0.36732610147644984,0.30890770256315575,,,,,8,,False,8 residuals cannot bound a 80% interval without interpolating beyond the sample (need at least 10)
