horizon,model,n_origins,rmse,mae,interval_lo,interval_hi,interval_width_log,interval_factor,n_residuals,achieved_level,interval_sufficient,insufficient_reason
1,naive,36,0.5344449222709475,0.37539160674554384,-0.6184606720869339,0.8497603806436929,1.4682210527306268,4.341504958916508,36,0.8378378378378378,True,
2,naive,30,0.5483874731122856,0.4058133667097797,-0.4344014953944382,0.9186068880919855,1.3530083834864237,3.8690476190476186,30,0.8064516129032258,True,
3,naive,24,0.7421173855743458,0.501060025738247,-0.6455242641846026,0.8914306945547599,1.5369549587393625,4.650408004900191,24,0.84,True,
