dropped_publisher,n_publishers,forecastable,any_model_beats_naive,smallest_p_value,h1_interval_factor,max_useful_horizon,google_max_share,google_largest_share_move_pp,verdict_unchanged
(none — published panel),7,"google, meta",False,0.17719329109855098,3.148389771403619,0,0.4142857142857143,14.1140239207908,True
via BeBee,6,"google, meta",False,0.051211969249862724,3.6344096809545117,0,0.42857142857142855,16.11136028686716,True
via Indeed,6,"google, meta",False,0.1499527126322697,3.143172543396089,0,0.4090909090909091,14.89291816428127,True
via Ladders,6,"google, meta",False,0.19349337296030772,3.1156794501566676,0,0.4142857142857143,14.023477910780912,True
via LinkedIn,6,"google, meta",False,0.09709496819890442,4.790288553150947,0,0.40384615384615385,16.51647999828574,True
via Recruit.net,6,"google, meta",False,0.16687891289350423,3.100173862307093,0,0.39705882352941174,13.129606405381148,True
via SimplyHired,6,"google, meta",False,0.1626387528124669,3.0832774853705587,0,0.4142857142857143,13.890290439241115,True
via Trabajo.org,6,google,False,0.24965647458536255,,0,0.4528301886792453,16.387041609067442,False
