horizon,model,n,rmse,mae,bias,rmse_ratio_to_naive,mase,error_factor
1,ses,36,0.500884621879673,0.35302849795755153,0.05130875649664723,0.9372053152854908,0.9404272541363692,1.6501804109081937
1,naive,36,0.5344449222709475,0.37539160674554384,-0.0030082214188260686,1.0,1.0,1.7065007387548
1,holt_damped,36,0.5482190125806473,0.3983627183228433,0.06300422183144777,1.0257727031088093,1.0611923952601057,1.7301688632834982
1,ar1,36,0.5693746523354809,0.42375177601204983,0.1023549618508109,1.0653570248475952,1.1288259204454898,1.7671616154398078
1,drift,36,0.5798365309154593,0.4130750436047334,0.016307072324272785,1.0849322479323689,1.1003843351370746,1.7857464925449298
1,loglinear,36,0.5832121396327357,0.452782949418302,0.0421624036756365,1.0912483500723853,1.20616162237537,1.7917846594828784
1,mean,36,0.6166024369284633,0.43502870705562136,-0.02012426853391658,1.1537249419611182,1.1588663657855889,1.8526229336453297
2,naive,30,0.5483874731122856,0.4058133667097797,0.0016209148470673006,1.0,1.0,1.730460353001598
2,ses,30,0.5525959986141478,0.4115234601008807,0.05141740033250924,1.0076743647661703,1.0140707375841187,1.7377583857338976
2,ar1,30,0.622004199476337,0.470315282008297,0.032813808498342215,1.1342421735971673,1.1589447775500363,1.8626574404353495
2,drift,30,0.6539616448226939,0.465637641497049,0.04332304278919934,1.1925174751188952,1.1474181968728818,1.923144573143774
2,holt_damped,30,0.6571737856418376,0.4584396994371037,0.08235757882406419,1.1983749043575933,1.129681122024155,1.9293319163170632
2,mean,30,0.6887059963768386,0.4989603884425324,-0.023995264182582125,1.255874778590761,1.229531674838516,1.9911373265836474
2,loglinear,30,0.7123052940734439,0.5491621871760962,0.05421536311439979,1.2989087625048559,1.353238291849646,2.0386856154982933
3,ses,24,0.7227622318591602,0.5047764853958673,0.02905093283259874,0.9739190132296845,1.0074171944811294,2.0601158763177376
3,naive,24,0.7421173855743458,0.501060025738247,-0.012890912711202537,1.0,1.0,2.100378119811918
3,mean,24,0.7665810345624529,0.5329612899184992,-0.04564976671533083,1.0329646622807171,1.063667549877382,2.152394696340814
3,ar1,24,0.7839366810662146,0.5738971598234827,0.02167502576393406,1.0563513216436826,1.1453660845882079,2.190076951902724
3,loglinear,24,0.8817181201765919,0.723819676191806,0.042876464518157305,1.1881113922350777,1.4445767752583165,2.4150454822972995
3,holt_damped,24,0.9082089285100735,0.5949306623249554,0.05409830856977132,1.2238076430552625,1.1873440940502131,2.4798769165207375
3,drift,24,0.95278218461461,0.6846387822755434,0.053499324670514464,1.283869914834598,1.3663807669885797,2.5929135976441633
