key,target_period,horizon,model,selected_by,last_observed_share,point_share,lo_share,hi_share,interval_level,achieved_level,interval_factor,n_residuals,n_train,supported,out_of_window
google,2024-01,1,naive,benchmark_not_beaten,0.233502538071066,0.23350253807106602,0.12788588080466248,0.40263459903234194,0.8,0.8461538461538461,3.148389771403619,12,11,False,True
google,2024-02,2,naive,benchmark_not_beaten,0.233502538071066,0.23350253807106602,0.13392057330546428,0.29319796954314725,0.8,0.8181818181818182,2.189342251950948,10,11,False,True
google,2024-03,3,naive,benchmark_not_beaten,0.233502538071066,0.23350253807106602,,,0.8,,,8,11,False,True
meta,2024-01,1,naive,benchmark_not_beaten,0.16751269035532995,0.16751269035532995,0.09174421883812747,0.2888465601753757,0.8,0.8461538461538461,3.148389771403619,12,11,False,True
meta,2024-02,2,naive,benchmark_not_beaten,0.16751269035532995,0.16751269035532995,0.09607345476261571,0.21033767380269258,0.8,0.8181818181818182,2.189342251950948,10,11,False,True
meta,2024-03,3,naive,benchmark_not_beaten,0.16751269035532995,0.16751269035532995,,,0.8,,,8,11,False,True
