company,skill,skill_category,postings_with_skill,n_skilled,share,rest_with_skill,rest_n_skilled,rest_share,diff,diff_ci_low,diff_ci_high,log_lift,p_value,supported,q_value,significant,vendor_relation,self_referential
microsoft,Keras,ML / AI,8,504,0.0159,25,2459,0.0102,0.0057,-0.0035,0.0212,0.699,0.2661183586606987,True,0.38528,False,,False
microsoft,Groovy,Programming Language,0,504,0.0,1,2459,0.0004,-0.0004,-0.0023,0.0072,0.699,0.6506905979899478,False,0.69443,False,,False
microsoft,CUDA,ML / AI,0,504,0.0,1,2459,0.0004,-0.0004,-0.0023,0.0072,0.699,0.6506905979899478,False,0.69443,False,,False
microsoft,GDPR,Governance / Compliance,1,504,0.002,4,2459,0.0016,0.0004,-0.0027,0.0096,0.699,0.8586357420919141,False,0.87237,False,,False
microsoft,Dart,Programming Language,0,504,0.0,1,2459,0.0004,-0.0004,-0.0023,0.0072,0.699,0.6506905979899478,False,0.69443,False,,False
microsoft,Kotlin,Programming Language,1,504,0.002,4,2459,0.0016,0.0004,-0.0027,0.0096,0.699,0.8586357420919141,False,0.87237,False,,False
microsoft,Flutter,Web / Frontend,0,504,0.0,1,2459,0.0004,-0.0004,-0.0023,0.0072,0.699,0.6506905979899478,False,0.69443,False,,False
microsoft,Firebase,Cloud Platform,0,504,0.0,1,2459,0.0004,-0.0004,-0.0023,0.0072,0.699,0.6506905979899478,False,0.69443,False,,False
microsoft,Microsoft Access,Database,0,504,0.0,1,2459,0.0004,-0.0004,-0.0023,0.0072,0.699,0.6506905979899478,False,0.69443,False,own_product,True
microsoft,PyTorch,ML / AI,44,504,0.0873,135,2459,0.0549,0.0324,0.0087,0.0615,0.678,0.005412803831649953,True,0.01463,True,,False
microsoft,Cassandra,Database,13,504,0.0258,41,2459,0.0167,0.0091,-0.003,0.0275,0.664,0.16318821799969552,True,0.2657,False,,False
microsoft,JavaScript,Programming Language,44,504,0.0873,141,2459,0.0573,0.03,0.0062,0.0591,0.615,0.011321809730952159,True,0.02819,True,,False
microsoft,GraphQL,Web / Frontend,4,504,0.0079,14,2459,0.0057,0.0022,-0.0039,0.0147,0.596,0.5549308587681252,True,0.64982,False,,False
microsoft,Julia,Programming Language,2,504,0.004,8,2459,0.0033,0.0007,-0.0036,0.0112,0.519,0.8009635699120784,False,0.82701,False,,False
microsoft,Kubernetes,DevOps / Infrastructure,39,504,0.0774,143,2459,0.0582,0.0192,-0.0033,0.0472,0.423,0.10147911760817988,True,0.17248,False,,False
microsoft,Elasticsearch,Database,4,504,0.0079,16,2459,0.0065,0.0014,-0.0049,0.014,0.41,0.7209953804227593,True,0.76305,False,,False
microsoft,Rust,Programming Language,1,504,0.002,5,2459,0.002,-0.0,-0.0032,0.0092,0.41,0.9821349757694895,False,0.98213,False,,False
microsoft,Spark,Data Engineering,143,504,0.2837,528,2459,0.2147,0.069,0.0279,0.1128,0.403,0.0007460710815009443,True,0.00256,True,,False
microsoft,Oracle,Database,11,504,0.0218,43,2459,0.0175,0.0043,-0.007,0.0218,0.365,0.507106561921835,True,0.62527,False,,False
microsoft,Express,Web / Frontend,8,504,0.0159,32,2459,0.013,0.0029,-0.0066,0.0185,0.349,0.6123082608198234,True,0.69443,False,,False
microsoft,Java,Programming Language,140,504,0.2778,550,2459,0.2237,0.0541,0.0132,0.0978,0.314,0.008838285980620732,True,0.02291,True,,False
microsoft,HTML,Web / Frontend,7,504,0.0139,30,2459,0.0122,0.0017,-0.0071,0.0166,0.26,0.7557776964450545,True,0.78675,False,,False
